epoch_s,local_time,dt_s,section,paddle,slat,mem_index,diff,rate_hz
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,307,2,9,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,52,1,10,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,52,2,11,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,102,1,12,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,102,2,13,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,124,2,14,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,124,1,15,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,48,2,16,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,48,1,17,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,75,2,18,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,75,1,19,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,109,2,20,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,109,1,21,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,123,2,22,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,123,1,23,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,103,1,63,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,103,2,62,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,300,1,58,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,300,2,59,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,80,1,60,216,43.191969
1771538214,2026-02-19 21:56:54,5.000930,TOP,80,2,61,206,41.192341
1771538214,2026-02-19 21:56:54,5.000930,TOP,303,1,50,216,43.191969
1771538214,2026-02-19 21:56:54,5.000930,TOP,303,2,57,98,19.596356
1771538214,2026-02-19 21:56:54,5.000930,TOP,88,1,56,31,6.198847
1771538214,2026-02-19 21:56:54,5.000930,TOP,88,2,54,51,10.198104
1771538214,2026-02-19 21:56:54,5.000930,TOP,30,1,127,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,30,2,126,170,33.993680
1771538214,2026-02-19 21:56:54,5.000930,TOP,34,1,106,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,34,2,107,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,74,1,108,89,17.796691
1771538214,2026-02-19 21:56:54,5.000930,TOP,74,2,110,210,41.992192
1771538214,2026-02-19 21:56:54,5.000930,TOP,47,1,112,17,3.399368
1771538214,2026-02-19 21:56:54,5.000930,TOP,47,2,114,220,43.991821
1771538214,2026-02-19 21:56:54,5.000930,TOP,115,1,116,49,9.798178
1771538214,2026-02-19 21:56:54,5.000930,TOP,115,2,118,239,47.791114
1771538214,2026-02-19 21:56:54,5.000930,TOP,46,1,119,0,0.000000
